Date,Home Team,Road Team,City,State,League,Sport
05/13/23,New York Yankees,Tampa Bay Rays,New York,New York,MLB,Baseball
05/13/23,Oakland Athletics,Texas Rangers,Oakland,California,MLB,Baseball
05/13/23,Toronto Blue Jays,Atlanta Braves,Toronto,Ontario,MLB,Baseball
05/13/23,Washington Nationals,New York Mets,Washington D.C.,Washington D.C.,MLB,Baseball
05/14/23,Arizona Diamondbacks,San Francisco Giants,Phoenix,Arizona,MLB,Baseball
05/14/23,Baltimore Orioles,Pittsburgh Pirates,Baltimore,Maryland,MLB,Baseball
05/14/23,Boston Red Sox,St. Louis Cardinals,Boston,Massachusetts,MLB,Baseball
05/14/23,Chicago White Sox,Houston Astros,Chicago,Illinois,MLB,Baseball
05/14/23,Cleveland Guardians,Los Angeles Angels,Cleveland,Ohio,MLB,Baseball
05/14/23,Colorado Rockies,Philadelphia Phillies,Denver,Colorado,MLB,Baseball
05/14/23,Detroit Tigers,Seattle Mariners,Detroit,Michigan,MLB,Baseball
05/14/23,Los Angeles Dodgers,San Diego Padres,Los Angeles,California,MLB,Baseball
05/14/23,Miami Marlins,Cincinnati Reds,Miami,Florida,MLB,Baseball
05/14/23,Milwaukee Brewers,Kansas City Royals,Milwaukee,Wisconsin,MLB,Baseball
05/14/23,Minnesota Twins,Chicago Cubs,Minneapolis,Minnesota,MLB,Baseball
05/14/23,New York Yankees,Tampa Bay Rays,New York,New York,MLB,Baseball
05/14/23,Oakland Athletics,Texas Rangers,Oakland,California,MLB,Baseball
05/14/23,Toronto Blue Jays,Atlanta Braves,Toronto,Ontario,MLB,Baseball
05/14/23,Washington Nationals,New York Mets,Washington D.C.,Washington D.C.,MLB,Baseball
05/15/23,Baltimore Orioles,Los Angeles Angels,Baltimore,Maryland,MLB,Baseball
05/15/23,Boston Red Sox,Seattle Mariners,Boston,Massachusetts,MLB,Baseball
05/15/23,Colorado Rockies,Cincinnati Reds,Denver,Colorado,MLB,Baseball
05/15/23,Houston Astros,Chicago Cubs,Houston,Texas,MLB,Baseball
05/15/23,Los Angeles Dodgers,Minnesota Twins,Los Angeles,California,MLB,Baseball
05/15/23,Oakland Athletics,Arizona Diamondbacks,Oakland,California,MLB,Baseball
05/15/23,San Diego Padres,Kansas City Royals,San Diego,California,MLB,Baseball
05/15/23,San Francisco Giants,Philadelphia Phillies,San Francisco,California,MLB,Baseball
05/15/23,St. Louis Cardinals,Milwaukee Brewers,St. Louis,Missouri,MLB,Baseball
05/15/23,Texas Rangers,Atlanta Braves,Arlington,Texas,MLB,Baseball
05/15/23,Toronto Blue Jays,New York Yankees,Toronto,Ontario,MLB,Baseball
05/15/23,Washington Nationals,New York Mets,Washington D.C.,Washington D.C.,MLB,Baseball
05/16/23,Baltimore Orioles,Los Angeles Angels,Baltimore,Maryland,MLB,Baseball
05/16/23,Boston Red Sox,Seattle Mariners,Boston,Massachusetts,MLB,Baseball
05/16/23,Chicago White Sox,Cleveland Guardians,Chicago,Illinois,MLB,Baseball
05/16/23,Colorado Rockies,Cincinnati Reds,Denver,Colorado,MLB,Baseball
05/16/23,Detroit Tigers,Pittsburgh Pirates,Detroit,Michigan,MLB,Baseball
05/16/23,Houston Astros,Chicago Cubs,Houston,Texas,MLB,Baseball
05/16/23,Los Angeles Dodgers,Minnesota Twins,Los Angeles,California,MLB,Baseball
05/16/23,Miami Marlins,Washington Nationals,Miami,Florida,MLB,Baseball
05/16/23,New York Mets,Tampa Bay Rays,New York,New York,MLB,Baseball
05/16/23,Oakland Athletics,Arizona Diamondbacks,Oakland,California,MLB,Baseball
05/16/23,San Diego Padres,Kansas City Royals,San Diego,California,MLB,Baseball
05/16/23,San Francisco Giants,Philadelphia Phillies,San Francisco,California,MLB,Baseball
05/16/23,St. Louis Cardinals,Milwaukee Brewers,St. Louis,Missouri,MLB,Baseball
05/16/23,Texas Rangers,Atlanta Braves,Arlington,Texas,MLB,Baseball
05/16/23,Toronto Blue Jays,New York Yankees,Toronto,Ontario,MLB,Baseball
05/17/23,Baltimore Orioles,Los Angeles Angels,Baltimore,Maryland,MLB,Baseball
05/17/23,Boston Red Sox,Seattle Mariners,Boston,Massachusetts,MLB,Baseball
05/17/23,Chicago White Sox,Cleveland Guardians,Chicago,Illinois,MLB,Baseball
05/17/23,Colorado Rockies,Cincinnati Reds,Denver,Colorado,MLB,Baseball
05/17/23,Detroit Tigers,Pittsburgh Pirates,Detroit,Michigan,MLB,Baseball
05/17/23,Houston Astros,Chicago Cubs,Houston,Texas,MLB,Baseball
05/17/23,Los Angeles Dodgers,Minnesota Twins,Los Angeles,California,MLB,Baseball
05/17/23,Miami Marlins,Washington Nationals,Miami,Florida,MLB,Baseball
05/17/23,New York Mets,Tampa Bay Rays,New York,New York,MLB,Baseball
05/17/23,Oakland Athletics,Arizona Diamondbacks,Oakland,California,MLB,Baseball
05/17/23,San Diego Padres,Kansas City Royals,San Diego,California,MLB,Baseball
05/17/23,San Francisco Giants,Philadelphia Phillies,San Francisco,California,MLB,Baseball
05/17/23,St. Louis Cardinals,Milwaukee Brewers,St. Louis,Missouri,MLB,Baseball
05/17/23,Texas Rangers,Atlanta Braves,Arlington,Texas,MLB,Baseball
05/17/23,Toronto Blue Jays,New York Yankees,Toronto,Ontario,MLB,Baseball
05/18/23,Baltimore Orioles,Los Angeles Angels,Baltimore,Maryland,MLB,Baseball
05/18/23,Chicago White Sox,Cleveland Guardians,Chicago,Illinois,MLB,Baseball
05/18/23,Miami Marlins,Washington Nationals,Miami,Florida,MLB,Baseball
05/18/23,New York Mets,Tampa Bay Rays,New York,New York,MLB,Baseball
05/18/23,St. Louis Cardinals,Los Angeles Dodgers,St. Louis,Missouri,MLB,Baseball
05/18/23,Toronto Blue Jays,New York Yankees,Toronto,Ontario,MLB,Baseball
05/19/23,Los Angeles Angels,Minnesota Twins,Los Angeles,California,MLB,Baseball
05/19/23,Atlanta Braves,Seattle Mariners,Atlanta,Georgia,MLB,Baseball
05/19/23,Chicago White Sox,Kansas City Royals,Chicago,Illinois,MLB,Baseball
05/19/23,Cincinnati Reds,New York Yankees,Cincinnati,Ohio,MLB,Baseball
05/19/23,Houston Astros,Oakland Athletics,Houston,Texas,MLB,Baseball
05/19/23,New York Mets,Cleveland Guardians,New York,New York,MLB,Baseball
05/19/23,Philadelphia Phillies,Chicago Cubs,Philadelphia,Pennsylvania,MLB,Baseball
05/19/23,Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh,Pennsylvania,MLB,Baseball
05/19/23,San Diego Padres,Boston Red Sox,San Diego,California,MLB,Baseball
05/19/23,San Francisco Giants,Miami Marlins,San Francisco,California,MLB,Baseball
05/19/23,St. Louis Cardinals,Los Angeles Dodgers,St. Louis,Missouri,MLB,Baseball
05/19/23,Tampa Bay Rays,Milwaukee Brewers,Tampa,Florida,MLB,Baseball
05/19/23,Texas Rangers,Colorado Rockies,Arlington,Texas,MLB,Baseball
05/19/23,Toronto Blue Jays,Baltimore Orioles,Toronto,Ontario,MLB,Baseball
05/19/23,Washington Nationals,Detroit Tigers,Washington D.C.,Washington D.C.,MLB,Baseball
05/20/23,Los Angeles Angels,Minnesota Twins,Los Angeles,California,MLB,Baseball
05/20/23,Atlanta Braves,Seattle Mariners,Atlanta,Georgia,MLB,Baseball
05/20/23,Chicago White Sox,Kansas City Royals,Chicago,Illinois,MLB,Baseball
05/20/23,Cincinnati Reds,New York Yankees,Cincinnati,Ohio,MLB,Baseball
05/20/23,Houston Astros,Oakland Athletics,Houston,Texas,MLB,Baseball
05/20/23,Philadelphia Phillies,Chicago Cubs,Philadelphia,Pennsylvania,MLB,Baseball
05/20/23,Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh,Pennsylvania,MLB,Baseball
05/20/23,San Diego Padres,Boston Red Sox,San Diego,California,MLB,Baseball
05/20/23,San Francisco Giants,Miami Marlins,San Francisco,California,MLB,Baseball
05/20/23,St. Louis Cardinals,Los Angeles Dodgers,St. Louis,Missouri,MLB,Baseball
05/20/23,Tampa Bay Rays,Milwaukee Brewers,Tampa,Florida,MLB,Baseball
05/20/23,Texas Rangers,Colorado Rockies,Arlington,Texas,MLB,Baseball
05/20/23,Toronto Blue Jays,Baltimore Orioles,Toronto,Ontario,MLB,Baseball
05/20/23,Washington Nationals,Detroit Tigers,Washington D.C.,Washington D.C.,MLB,Baseball
05/21/23,Los Angeles Angels,Minnesota Twins,Los Angeles,California,MLB,Baseball
05/21/23,Atlanta Braves,Seattle Mariners,Atlanta,Georgia,MLB,Baseball
05/21/23,Chicago White Sox,Kansas City Royals,Chicago,Illinois,MLB,Baseball
05/21/23,Cincinnati Reds,New York Yankees,Cincinnati,Ohio,MLB,Baseball
05/21/23,Houston Astros,Oakland Athletics,Houston,Texas,MLB,Baseball
05/21/23,New York Mets,Cleveland Guardians,New York,New York,MLB,Baseball
05/21/23,New York Mets,Cleveland Guardians,New York,New York,MLB,Baseball
05/21/23,Philadelphia Phillies,Chicago Cubs,Philadelphia,Pennsylvania,MLB,Baseball
05/21/23,Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh,Pennsylvania,MLB,Baseball
05/21/23,San Diego Padres,Boston Red Sox,San Diego,California,MLB,Baseball
05/21/23,San Francisco Giants,Miami Marlins,San Francisco,California,MLB,Baseball
05/21/23,St. Louis Cardinals,Los Angeles Dodgers,St. Louis,Missouri,MLB,Baseball
05/21/23,Tampa Bay Rays,Milwaukee Brewers,Tampa,Florida,MLB,Baseball
05/21/23,Texas Rangers,Colorado Rockies,Arlington,Texas,MLB,Baseball
05/21/23,Toronto Blue Jays,Baltimore Orioles,Toronto,Ontario,MLB,Baseball
05/21/23,Washington Nationals,Detroit Tigers,Washington D.C.,Washington D.C.,MLB,Baseball
05/22/23,Los Angeles Angels,Boston Red Sox,Los Angeles,California,MLB,Baseball
05/22/23,Atlanta Braves,Los Angeles Dodgers,Atlanta,Georgia,MLB,Baseball
05/22/23,Cincinnati Reds,St. Louis Cardinals,Cincinnati,Ohio,MLB,Baseball
05/22/23,Cleveland Guardians,Chicago White Sox,Cleveland,Ohio,MLB,Baseball
05/22/23,Colorado Rockies,Miami Marlins,Denver,Colorado,MLB,Baseball
05/22/23,Kansas City Royals,Detroit Tigers,Kansas City,Missouri,MLB,Baseball
05/22/23,Milwaukee Brewers,Houston Astros,Milwaukee,Wisconsin,MLB,Baseball
05/22/23,Minnesota Twins,San Francisco Giants,Minneapolis,Minnesota,MLB,Baseball
05/22/23,Philadelphia Phillies,Arizona Diamondbacks,Philadelphia,Pennsylvania,MLB,Baseball
05/22/23,Pittsburgh Pirates,Texas Rangers,Pittsburgh,Pennsylvania,MLB,Baseball
05/22/23,Seattle Mariners,Oakland Athletics,Seattle,Washington,MLB,Baseball
05/22/23,Tampa Bay Rays,Toronto Blue Jays,Tampa,Florida,MLB,Baseball
05/23/23,Los Angeles Angels,Boston Red Sox,Los Angeles,California,MLB,Baseball
05/23/23,Atlanta Braves,Los Angeles Dodgers,Atlanta,Georgia,MLB,Baseball
05/23/23,Chicago Cubs,New York Mets,Chicago,Illinois,MLB,Baseball
05/23/23,Cincinnati Reds,St. Louis Cardinals,Cincinnati,Ohio,MLB,Baseball
05/23/23,Cleveland Guardians,Chicago White Sox,Cleveland,Ohio,MLB,Baseball
05/23/23,Colorado Rockies,Miami Marlins,Denver,Colorado,MLB,Baseball
05/23/23,Kansas City Royals,Detroit Tigers,Kansas City,Missouri,MLB,Baseball
05/23/23,Milwaukee Brewers,Houston Astros,Milwaukee,Wisconsin,MLB,Baseball
05/23/23,Minnesota Twins,San Francisco Giants,Minneapolis,Minnesota,MLB,Baseball
05/23/23,New York Yankees,Baltimore Orioles,New York,New York,MLB,Baseball
05/23/23,Philadelphia Phillies,Arizona Diamondbacks,Philadelphia,Pennsylvania,MLB,Baseball
05/23/23,Pittsburgh Pirates,Texas Rangers,Pittsburgh,Pennsylvania,MLB,Baseball
05/23/23,Seattle Mariners,Oakland Athletics,Seattle,Washington,MLB,Baseball
05/23/23,Tampa Bay Rays,Toronto Blue Jays,Tampa,Florida,MLB,Baseball
05/23/23,Washington Nationals,San Diego Padres,Washington D.C.,Washington D.C.,MLB,Baseball
05/24/23,Los Angeles Angels,Boston Red Sox,Los Angeles,California,MLB,Baseball
05/24/23,Atlanta Braves,Los Angeles Dodgers,Atlanta,Georgia,MLB,Baseball
05/24/23,Chicago Cubs,New York Mets,Chicago,Illinois,MLB,Baseball
05/24/23,Cincinnati Reds,St. Louis Cardinals,Cincinnati,Ohio,MLB,Baseball
05/24/23,Cleveland Guardians,Chicago White Sox,Cleveland,Ohio,MLB,Baseball
05/24/23,Colorado Rockies,Miami Marlins,Denver,Colorado,MLB,Baseball
05/24/23,Kansas City Royals,Detroit Tigers,Kansas City,Missouri,MLB,Baseball
05/24/23,Milwaukee Brewers,Houston Astros,Milwaukee,Wisconsin,MLB,Baseball
05/24/23,Minnesota Twins,San Francisco Giants,Minneapolis,Minnesota,MLB,Baseball
05/24/23,New York Yankees,Baltimore Orioles,New York,New York,MLB,Baseball
05/24/23,Philadelphia Phillies,Arizona Diamondbacks,Philadelphia,Pennsylvania,MLB,Baseball
05/24/23,Pittsburgh Pirates,Texas Rangers,Pittsburgh,Pennsylvania,MLB,Baseball
05/24/23,Seattle Mariners,Oakland Athletics,Seattle,Washington,MLB,Baseball
05/24/23,Tampa Bay Rays,Toronto Blue Jays,Tampa,Florida,MLB,Baseball
05/24/23,Washington Nationals,San Diego Padres,Washington D.C.,Washington D.C.,MLB,Baseball
05/25/23,Atlanta Braves,Philadelphia Phillies,Atlanta,Georgia,MLB,Baseball
05/25/23,Chicago Cubs,New York Mets,Chicago,Illinois,MLB,Baseball
05/25/23,Cincinnati Reds,St. Louis Cardinals,Cincinnati,Ohio,MLB,Baseball
05/25/23,Colorado Rockies,Miami Marlins,Denver,Colorado,MLB,Baseball
05/25/23,Detroit Tigers,Chicago White Sox,Detroit,Michigan,MLB,Baseball
05/25/23,Milwaukee Brewers,San Francisco Giants,Milwaukee,Wisconsin,MLB,Baseball
05/25/23,New York Yankees,Baltimore Orioles,New York,New York,MLB,Baseball
05/25/23,Seattle Mariners,Oakland Athletics,Seattle,Washington,MLB,Baseball
05/25/23,Tampa Bay Rays,Toronto Blue Jays,Tampa,Florida,MLB,Baseball
05/25/23,Washington Nationals,San Diego Padres,Washington D.C.,Washington D.C.,MLB,Baseball
05/26/23,Los Angeles Angels,Miami Marlins,Los Angeles,California,MLB,Baseball
05/26/23,Arizona Diamondbacks,Boston Red Sox,Phoenix,Arizona,MLB,Baseball
05/26/23,Atlanta Braves,Philadelphia Phillies,Atlanta,Georgia,MLB,Baseball
05/26/23,Baltimore Orioles,Texas Rangers,Baltimore,Maryland,MLB,Baseball
05/26/23,Chicago Cubs,Cincinnati Reds,Chicago,Illinois,MLB,Baseball
05/26/23,Cleveland Guardians,St. Louis Cardinals,Cleveland,Ohio,MLB,Baseball
05/26/23,Colorado Rockies,New York Mets,Denver,Colorado,MLB,Baseball
05/26/23,Detroit Tigers,Chicago White Sox,Detroit,Michigan,MLB,Baseball
05/26/23,Kansas City Royals,Washington Nationals,Kansas City,Missouri,MLB,Baseball
05/26/23,Milwaukee Brewers,San Francisco Giants,Milwaukee,Wisconsin,MLB,Baseball
05/26/23,Minnesota Twins,Toronto Blue Jays,Minneapolis,Minnesota,MLB,Baseball
05/26/23,New York Yankees,San Diego Padres,New York,New York,MLB,Baseball
05/26/23,Oakland Athletics,Houston Astros,Oakland,California,MLB,Baseball
05/26/23,Seattle Mariners,Pittsburgh Pirates,Seattle,Washington,MLB,Baseball
05/26/23,Tampa Bay Rays,Los Angeles Dodgers,Tampa,Florida,MLB,Baseball
05/27/23,Los Angeles Angels,Miami Marlins,Los Angeles,California,MLB,Baseball
05/27/23,Arizona Diamondbacks,Boston Red Sox,Phoenix,Arizona,MLB,Baseball
05/27/23,Atlanta Braves,Philadelphia Phillies,Atlanta,Georgia,MLB,Baseball
05/27/23,Baltimore Orioles,Texas Rangers,Baltimore,Maryland,MLB,Baseball
05/27/23,Chicago Cubs,Cincinnati Reds,Chicago,Illinois,MLB,Baseball
05/27/23,Cleveland Guardians,St. Louis Cardinals,Cleveland,Ohio,MLB,Baseball
05/27/23,Colorado Rockies,New York Mets,Denver,Colorado,MLB,Baseball
05/27/23,Detroit Tigers,Chicago White Sox,Detroit,Michigan,MLB,Baseball
05/27/23,Kansas City Royals,Washington Nationals,Kansas City,Missouri,MLB,Baseball
05/27/23,Milwaukee Brewers,San Francisco Giants,Milwaukee,Wisconsin,MLB,Baseball
05/27/23,Minnesota Twins,Toronto Blue Jays,Minneapolis,Minnesota,MLB,Baseball
05/27/23,New York Yankees,San Diego Padres,New York,New York,MLB,Baseball
05/27/23,Oakland Athletics,Houston Astros,Oakland,California,MLB,Baseball
05/27/23,Seattle Mariners,Pittsburgh Pirates,Seattle,Washington,MLB,Baseball
05/27/23,Tampa Bay Rays,Los Angeles Dodgers,Tampa,Florida,MLB,Baseball
05/28/23,Los Angeles Angels,Miami Marlins,Los Angeles,California,MLB,Baseball
05/28/23,Arizona Diamondbacks,Boston Red Sox,Phoenix,Arizona,MLB,Baseball
05/28/23,Atlanta Braves,Philadelphia Phillies,Atlanta,Georgia,MLB,Baseball
05/28/23,Baltimore Orioles,Texas Rangers,Baltimore,Maryland,MLB,Baseball
05/28/23,Chicago Cubs,Cincinnati Reds,Chicago,Illinois,MLB,Baseball
05/28/23,Cleveland Guardians,St. Louis Cardinals,Cleveland,Ohio,MLB,Baseball
05/28/23,Colorado Rockies,New York Mets,Denver,Colorado,MLB,Baseball
05/28/23,Detroit Tigers,Chicago White Sox,Detroit,Michigan,MLB,Baseball
05/28/23,Kansas City Royals,Washington Nationals,Kansas City,Missouri,MLB,Baseball
05/28/23,Milwaukee Brewers,San Francisco Giants,Milwaukee,Wisconsin,MLB,Baseball
05/28/23,Minnesota Twins,Toronto Blue Jays,Minneapolis,Minnesota,MLB,Baseball
05/28/23,New York Yankees,San Diego Padres,New York,New York,MLB,Baseball
05/28/23,Oakland Athletics,Houston Astros,Oakland,California,MLB,Baseball
05/28/23,Seattle Mariners,Pittsburgh Pirates,Seattle,Washington,MLB,Baseball
05/28/23,Tampa Bay Rays,Los Angeles Dodgers,Tampa,Florida,MLB,Baseball
05/29/23,Arizona Diamondbacks,Colorado Rockies,Phoenix,Arizona,MLB,Baseball
05/29/23,Baltimore Orioles,Cleveland Guardians,Baltimore,Maryland,MLB,Baseball
05/29/23,Chicago White Sox,Los Angeles Angels,Chicago,Illinois,MLB,Baseball
05/29/23,Chicago Cubs,Tampa Bay Rays,Chicago,Illinois,MLB,Baseball
05/29/23,Detroit Tigers,Texas Rangers,Detroit,Michigan,MLB,Baseball
05/29/23,Houston Astros,Minnesota Twins,Houston,Texas,MLB,Baseball
05/29/23,Los Angeles Dodgers,Washington Nationals,Los Angeles,California,MLB,Baseball
05/29/23,Oakland Athletics,Atlanta Braves,Oakland,California,MLB,Baseball
05/29/23,Seattle Mariners,New York Yankees,Seattle,Washington,MLB,Baseball
05/29/23,San Francisco Giants,Pittsburgh Pirates,San Francisco,California,MLB,Baseball
05/29/23,St. Louis Cardinals,Kansas City Royals,St. Louis,Missouri,MLB,Baseball
05/30/23,Arizona Diamondbacks,Colorado Rockies,Phoenix,Arizona,MLB,Baseball
05/30/23,Baltimore Orioles,Cleveland Guardians,Baltimore,Maryland,MLB,Baseball
05/30/23,Boston Red Sox,Cincinnati Reds,Boston,Massachusetts,MLB,Baseball
05/30/23,Chicago White Sox,Los Angeles Angels,Chicago,Illinois,MLB,Baseball
05/30/23,Chicago Cubs,Tampa Bay Rays,Chicago,Illinois,MLB,Baseball
05/30/23,Detroit Tigers,Texas Rangers,Detroit,Michigan,MLB,Baseball
05/30/23,Houston Astros,Minnesota Twins,Houston,Texas,MLB,Baseball
05/30/23,Los Angeles Dodgers,Washington Nationals,Los Angeles,California,MLB,Baseball
05/30/23,Miami Marlins,San Diego Padres,Miami,Florida,MLB,Baseball
05/30/23,New York Mets,Philadelphia Phillies,New York,New York,MLB,Baseball
05/30/23,Oakland Athletics,Atlanta Braves,Oakland,California,MLB,Baseball
05/30/23,Seattle Mariners,New York Yankees,Seattle,Washington,MLB,Baseball
05/30/23,San Francisco Giants,Pittsburgh Pirates,San Francisco,California,MLB,Baseball
05/30/23,St. Louis Cardinals,Kansas City Royals,St. Louis,Missouri,MLB,Baseball
05/30/23,Toronto Blue Jays,Milwaukee Brewers,Toronto,Ontario,MLB,Baseball
05/31/23,Arizona Diamondbacks,Colorado Rockies,Phoenix,Arizona,MLB,Baseball
05/31/23,Baltimore Orioles,Cleveland Guardians,Baltimore,Maryland,MLB,Baseball
05/31/23,Boston Red Sox,Cincinnati Reds,Boston,Massachusetts,MLB,Baseball
05/31/23,Chicago White Sox,Los Angeles Angels,Chicago,Illinois,MLB,Baseball
05/31/23,Chicago Cubs,Tampa Bay Rays,Chicago,Illinois,MLB,Baseball
05/31/23,Detroit Tigers,Texas Rangers,Detroit,Michigan,MLB,Baseball
05/31/23,Houston Astros,Minnesota Twins,Houston,Texas,MLB,Baseball
05/31/23,Los Angeles Dodgers,Washington Nationals,Los Angeles,California,MLB,Baseball
05/31/23,Miami Marlins,San Diego Padres,Miami,Florida,MLB,Baseball
05/31/23,New York Mets,Philadelphia Phillies,New York,New York,MLB,Baseball
05/31/23,Oakland Athletics,Atlanta Braves,Oakland,California,MLB,Baseball
05/31/23,Seattle Mariners,New York Yankees,Seattle,Washington,MLB,Baseball
05/31/23,San Francisco Giants,Pittsburgh Pirates,San Francisco,California,MLB,Baseball
05/31/23,Toronto Blue Jays,Milwaukee Brewers,Toronto,Ontario,MLB,Baseball
06/01/23,Arizona Diamondbacks,Colorado Rockies,Phoenix,Arizona,MLB,Baseball
06/01/23,Boston Red Sox,Cincinnati Reds,Boston,Massachusetts,MLB,Baseball
06/01/23,Houston Astros,Los Angeles Angels,Houston,Texas,MLB,Baseball
06/01/23,Miami Marlins,San Diego Padres,Miami,Florida,MLB,Baseball
06/01/23,Minnesota Twins,Cleveland Guardians,Minneapolis,Minnesota,MLB,Baseball
06/01/23,New York Mets,Philadelphia Phillies,New York,New York,MLB,Baseball
06/01/23,Toronto Blue Jays,Milwaukee Brewers,Toronto,Ontario,MLB,Baseball
06/02/23,Arizona Diamondbacks,Atlanta Braves,Phoenix,Arizona,MLB,Baseball
06/02/23,Chicago White Sox,Detroit Tigers,Chicago,Illinois,MLB,Baseball
06/02/23,Cincinnati Reds,Milwaukee Brewers,Cincinnati,Ohio,MLB,Baseball
06/02/23,Houston Astros,Los Angeles Angels,Houston,Texas,MLB,Baseball
06/02/23,Kansas City Royals,Colorado Rockies,Kansas City,Missouri,MLB,Baseball
06/02/23,Los Angeles Dodgers,New York Yankees,Los Angeles,California,MLB,Baseball
06/02/23,Miami Marlins,Oakland Athletics,Miami,Florida,MLB,Baseball
06/02/23,Minnesota Twins,Cleveland Guardians,Minneapolis,Minnesota,MLB,Baseball
06/02/23,New York Mets,Toronto Blue Jays,New York,New York,MLB,Baseball
06/02/23,Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh,Pennsylvania,MLB,Baseball
06/02/23,San Diego Padres,Chicago Cubs,San Diego,California,MLB,Baseball
06/02/23,San Francisco Giants,Baltimore Orioles,San Francisco,California,MLB,Baseball
06/02/23,Texas Rangers,Seattle Mariners,Arlington,Texas,MLB,Baseball
06/02/23,Washington Nationals,Philadelphia Phillies,Washington D.C.,Washington D.C.,MLB,Baseball
06/03/23,Arizona Diamondbacks,Atlanta Braves,Phoenix,Arizona,MLB,Baseball
06/03/23,Boston Red Sox,Tampa Bay Rays,Boston,Massachusetts,MLB,Baseball
06/03/23,Boston Red Sox,Tampa Bay Rays,Boston,Massachusetts,MLB,Baseball
06/03/23,Chicago White Sox,Detroit Tigers,Chicago,Illinois,MLB,Baseball
06/03/23,Cincinnati Reds,Milwaukee Brewers,Cincinnati,Ohio,MLB,Baseball
06/03/23,Houston Astros,Los Angeles Angels,Houston,Texas,MLB,Baseball
06/03/23,Kansas City Royals,Colorado Rockies,Kansas City,Missouri,MLB,Baseball
06/03/23,Los Angeles Dodgers,New York Yankees,Los Angeles,California,MLB,Baseball
06/03/23,Miami Marlins,Oakland Athletics,Miami,Florida,MLB,Baseball
06/03/23,Minnesota Twins,Cleveland Guardians,Minneapolis,Minnesota,MLB,Baseball
06/03/23,New York Mets,Toronto Blue Jays,New York,New York,MLB,Baseball
06/03/23,Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh,Pennsylvania,MLB,Baseball
06/03/23,San Diego Padres,Chicago Cubs,San Diego,California,MLB,Baseball
06/03/23,San Francisco Giants,Baltimore Orioles,San Francisco,California,MLB,Baseball
06/03/23,Texas Rangers,Seattle Mariners,Arlington,Texas,MLB,Baseball
06/03/23,Washington Nationals,Philadelphia Phillies,Washington D.C.,Washington D.C.,MLB,Baseball
06/04/23,Arizona Diamondbacks,Atlanta Braves,Phoenix,Arizona,MLB,Baseball
06/04/23,Boston Red Sox,Tampa Bay Rays,Boston,Massachusetts,MLB,Baseball
06/04/23,Chicago White Sox,Detroit Tigers,Chicago,Illinois,MLB,Baseball
06/04/23,Cincinnati Reds,Milwaukee Brewers,Cincinnati,Ohio,MLB,Baseball
06/04/23,Houston Astros,Los Angeles Angels,Houston,Texas,MLB,Baseball
06/04/23,Kansas City Royals,Colorado Rockies,Kansas City,Missouri,MLB,Baseball
06/04/23,Los Angeles Dodgers,New York Yankees,Los Angeles,California,MLB,Baseball
06/04/23,Miami Marlins,Oakland Athletics,Miami,Florida,MLB,Baseball
06/04/23,Minnesota Twins,Cleveland Guardians,Minneapolis,Minnesota,MLB,Baseball
06/04/23,New York Mets,Toronto Blue Jays,New York,New York,MLB,Baseball
06/04/23,Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh,Pennsylvania,MLB,Baseball
06/04/23,San Diego Padres,Chicago Cubs,San Diego,California,MLB,Baseball
06/04/23,San Francisco Giants,Baltimore Orioles,San Francisco,California,MLB,Baseball
06/04/23,Texas Rangers,Seattle Mariners,Arlington,Texas,MLB,Baseball
06/04/23,Washington Nationals,Philadelphia Phillies,Washington D.C.,Washington D.C.,MLB,Baseball
06/05/23,Boston Red Sox,Tampa Bay Rays,Boston,Massachusetts,MLB,Baseball
06/05/23,Cincinnati Reds,Milwaukee Brewers,Cincinnati,Ohio,MLB,Baseball
06/05/23,Miami Marlins,Kansas City Royals,Miami,Florida,MLB,Baseball
06/05/23,Philadelphia Phillies,Detroit Tigers,Philadelphia,Pennsylvania,MLB,Baseball
06/05/23,Pittsburgh Pirates,Oakland Athletics,Pittsburgh,Pennsylvania,MLB,Baseball
06/05/23,San Diego Padres,Chicago Cubs,San Diego,California,MLB,Baseball
06/05/23,Texas Rangers,St. Louis Cardinals,Arlington,Texas,MLB,Baseball
06/05/23,Toronto Blue Jays,Houston Astros,Toronto,Ontario,MLB,Baseball
06/06/23,Los Angeles Angels,Chicago Cubs,Los Angeles,California,MLB,Baseball
06/06/23,Atlanta Braves,New York Mets,Atlanta,Georgia,MLB,Baseball
06/06/23,Cincinnati Reds,Los Angeles Dodgers,Cincinnati,Ohio,MLB,Baseball
06/06/23,Cleveland Guardians,Boston Red Sox,Cleveland,Ohio,MLB,Baseball
06/06/23,Colorado Rockies,San Francisco Giants,Denver,Colorado,MLB,Baseball
06/06/23,Miami Marlins,Kansas City Royals,Miami,Florida,MLB,Baseball
06/06/23,Milwaukee Brewers,Baltimore Orioles,Milwaukee,Wisconsin,MLB,Baseball
06/06/23,New York Yankees,Chicago White Sox,New York,New York,MLB,Baseball
06/06/23,Philadelphia Phillies,Detroit Tigers,Philadelphia,Pennsylvania,MLB,Baseball
